Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"Irmco
","
","Taikos pr. 116D, LT-51152 Kaunas.","
Veiklos sritys: darbo apranga; apranga, drabužiai; viešbučiai, moteliai.
","
Personalo drabužiai : drabužiai restorano darbuotojų, virėjų rūbai, kavinių ir viešbučių personalo, specializuoti ir darbo drabužiai - siuvimas ir prekyba. Drabužių modeliavimo ir dizaino paslaugos. Staltiesės, staltiesių siuvimas, užuolaidos, audiniai ir kita, staltiesių nuoma, kėdžių užvalkalų nuoma.
",https://rekvizitai.vz.lt/imone/irmco/
"Linas
","
","S. Kerbedžio g. 23, LT-35114 Panevėžys.","
Veiklos sritys: apranga, drabužiai; dovanos; gamyba; siuvimas, medžiagos.
","
AB „Linas“ viena didžiausių linų tekstilės gamintojų Lietuvoje ir Baltijos valstybėse. Gilios tradicijos, ilgametė darbo patirtis puoselėjama nuo 1957 m. „Lino“ įmonių grupė teikia visas lino verpalų dažymo, audimo, apdailos ir siuvimo paslaugas. Lietuvių kapitalo įmonių grupė natūralumą ir modernumą vertinantiems...
",https://rekvizitai.vz.lt/imone/ab_linas/
"Linobara
","
","Savanorių pr. 280, LT-50201 Kaunas.","
Veiklos sritys: siuvimas, medžiagos; apranga, drabužiai; audiniai, patalynė; gamyba.
","
Įmonė “ALETA natural lifestyle“ buvo įkurta 1991 metais. Įmonės filosofijos pagrindas nuo pat jos veiklos pradžios buvo nuostabių produktų iš lino gamyba. Artimas bendradarbiavimas su daugybe Lietuvos gamintojų įmonei leido sukurti daugybę kolekcijų iš natūralių produktų. Tai tekstilės gaminiai virtuvei, voniai...
",https://rekvizitai.vz.lt/imone/aleta_naturalis/
"Rožė
","
","Polocko g. 15, LT-01205 Vilnius.","
Veiklos sritys: gamyba; apranga, drabužiai; eksportas; siuvimas, medžiagos.
","
UAB Rožė - gerai savo srityje žinoma siuvimo įmonė, teikianti profesionalias siuvimo paslaugas. Specializuojamės didmenine gamyba. Mūsų siūlomos paslaugos: konstravimas sukirpimas proto, sms gamyba siuvimas dideliais kiekiais Dirbame su garsiais dizaineriais, teikiame itin kokybiškas paslaugas nuo eskizo iki gatavo...
",https://rekvizitai.vz.lt/imone/roze/
"Valorus
","
Laisvalaikio aprangos ir sportinių aprangų siuvimas
","Algirdo g. 54, LT-50157 Kaunas.","
Veiklos sritys: siuvimas, medžiagos; apranga, drabužiai; didmeninė prekyba; eksportas; gamyba; mažmeninė prekyba; vaikų prekės.
","
Valorus, UAB Sportinių, komandinių aprangų, fanų atributikos, marškinėlių, kepurių, skarelių, šalikų, vėliavų, laisvalaikio bei kasdieninių drabužių, ir kitų trikotažinių drabužių siuvimas – masinė gamyba, prekyba Kaune UAB „Valorus“ teikia šias paslaugas: SUBLIMACIJA Sublimacija - tai sublimacinis logotipo...
",https://rekvizitai.vz.lt/imone/valorus/
"Amibutikas
","
","Baltupėnų g. 4-6, LT-78131 Šiauliai.","
Veiklos sritys: apranga, drabužiai.
","
Ami'Boutique arba tiesiog Amibutikas – tai itališkos mados moterims oazė. Čia rasite tokių prekinių ženklų kaip IMPERIAL, VICOLO, KONTATTO, JOLEEN, L‘ESTROSA ir kitų gamintojų produkciją, atkeliavusią tiesiai iš Italijos. Nuo stilingų suknelių šventėms iki patogių derinių bei avalynės kasdienai. Moterims drabužiai...
",https://rekvizitai.vz.lt/imone/amibutikas/
"Gevaina
","
","Naglio g. 12-64, LT-52370 Kaunas.","
Veiklos sritys: siuvimas, medžiagos; apranga, drabužiai; audiniai, patalynė; darbo apranga.
","
Didmeninė, mažmeninė prekyba audiniais: drobė, marginta drobelė, baltas satinas,juostuotas satinas viešbučiams, balta drobelė,perkalis. Gamyba: antklodės,pagalvės,patalynė,čiužiniai,antčiužiniai,apsauginė patalynė viešbučiams,frotiniai rankšluosčiai,chalatai,kilimėliai voniai,frotinės vienkartinės šlepetės,balto...
",https://rekvizitai.vz.lt/imone/gevaina/
"Gorengo B2B Diffusion
","
","A. Goštauto g. 8-359, LT-01108 Vilnius.","
Veiklos sritys: apranga, drabužiai.
","
Lacoste yra gerai žinoma prancūzų drabužių prekės ženklas, įkurtas teniso žaidėjo René Lacoste ir André Gillier 1933 metais. Šis ženklas garsėja savo ikonišku žaliu krokodilu, kuris simbolizuoja eleganciją, stilių ir sportinę paveldėjimą. Lacoste specializuojasi sportiniu apranga, ypač teniso drabužiais. Jų...
",https://rekvizitai.vz.lt/imone/gorengo/
"Klasikinė tekstilė, A. R. Baumilų TŪB
","
Lininių audinių audimas ir siuvimas Kaune
","Brastos g. 9, LT-47184 Kaunas.","
Veiklos sritys: audiniai, patalynė; apranga, drabužiai; didmeninė prekyba; dovanos; eksportas; gamyba; siuvimas, medžiagos.
","
A.R. Baumilų TŪB ,,Klasikinė tekstilė“ - sėkmingai vykdanti veiklą nuo 1991m. lino tekstilės gamybinė įmonė Kaune. Šiuo metu įmonėje dirba apie 300 darbuotojų. Gamybinis plotas - 16 000 kv.m. Pagrindinės įmonės veiklos kryptys: lininių audinių audimas, audinių apdaila, skaitmeninis marginimas, lininių gaminių...
",https://rekvizitai.vz.lt/imone/klasikine_tekstile_a_r_baumilu_tub/
"MARINERA
","
","Taikos g. 22-24, LT-93121 Neringa.","
Veiklos sritys: sporto, turizmo reikmenys; apranga, drabužiai; mažmeninė prekyba; vandens transportas.
","
MARINERA, UAB įmonė sėkmingai veikia nuo 1999 m. Parduotuvėje Kaune galite rasti įrangos pramoginėms ir sportinėms jachtoms ir kateriams, gelbėjimo priemonių, aprangos vandens sportui ir pramogoms. Sėkmingai bendradarbiaujame su buriavimo mokyklomis, klubais, jachtų ir katerių statytojais.
",https://rekvizitai.vz.lt/imone/nidos_teksora/
"Onorė
","
Vulcan.lt
","S. Nėries g. 66F, LT-70171 Vilkaviškis.","
Veiklos sritys: metalų pardavimas, supirkimas; apranga, drabužiai; didmeninė prekyba; interneto parduotuvės.
","
UAB “Onorė” veiklą pradėjo vykdyti 2004 metais Vilkaviškyje. Veiklos sritys: - Spalvotųjų ir juodųjų metalų laužo supirkimas - Prekyba kietu (anglimis ir briketais) - Automobilių remonto ir priežiūros centras (autoservisas) - Naujos ir naudotos autodetalės - Statybinės technikos nuoma ir autotransporto paslaugos...
",https://rekvizitai.vz.lt/imone/onore/
"Pirk Lt
","
","Perkūnkiemio g. 7, LT-12131 Vilnius.","
Veiklos sritys: interneto parduotuvės; apranga, drabužiai; avalynė, batai; kosmetika, parfumerija.
","
Pirk.lt - tai parduotuvė su plačiu prekių ir paslaugų pasirinkimu nuo kasdienio vartojimo iki prabangos prekių. Kokybiškas klientų aptarnavimas ir kainomis konkurencingas asortimentas Lietuvoje. Pirkėjui prekės pristatomos į jo pasirinktą, jam patogiausią atsiėmimo tašką. Prekes galite užsakyti internete –...
",https://rekvizitai.vz.lt/imone/uab_pirk_lt/
"Sanveda
","
","Sausinės g. 26, LT-47483 Kaunas.","
Veiklos sritys: apranga, drabužiai; gamyba.
","
Paprastas minkštinimas /lengvas gaminių skalbimas/ vilnos skalbimas Silikoninis minkštinimas Enzyminė gaminių apdaila/ lengvas enzyminis skalbimas/ šaltas enzyminis skalbimas Spalvos fiksavimas Dviguba enzyminė gaminių apdaila Gaminių balinimas chloru Gaminių balinimas soda ir peroksidu Darbinių rūbų skalbimas...
",https://rekvizitai.vz.lt/imone/sanveda/
"Saulytės Varlytės
","
","Pikutiškių g. 30, LT-14187 Vilnius.","
Veiklos sritys: apranga, drabužiai; dovanos; individuali veikla.
","
Rankomis austos juostos, iš jos gaminami įvairūs aksesuarai visai šeimai: varlytės (peteliškės), kaklaraiščiai, dirželiai, rankinių diržai, gitarų diržai, petnešos, įvairios juostelės, apyrankės, plaukų gumytės, segtukai, plaukų lankeliai, galvajuostės, knygų skirtukai, detalės drabužiams. Dažniausiai audžiu pagal...
",https://rekvizitai.vz.lt/imone/saulytes_varlytes/
"UAB Poldma
","
Denim dream
","Saltoniškių g. 9, LT-08105 Vilnius.","
Veiklos sritys: apranga, drabužiai; avalynė, batai; didmeninė prekyba; galanterija.
","
„Denim Dream“ parduotuvių tinklas žinomas savo įžymių prekės ženklų įvairove Baltojis šalyse, siūlydamas moterims ir vyrams tiek visame pasaulyje pagarsėjusių mados stilių diktuojančių prekės ženklų, tiek ir klasikinių madų prekės ženklų gaminių. Bendrovė užssima mažmenine ir didmenine prekyba. Prekės ženklai:...
",https://rekvizitai.vz.lt/imone/guess_poldma_parduotuve/
"AR PLIUS
","
","Raudondvario pl. 162, LT-47174 Kaunas.","
Veiklos sritys: darbo apranga; apranga, drabužiai; avalynė, batai; darbo sauga.
","
UAB „Ar plius“ veikla yra didmeninė ir mažmeninė prekyba asmeninėmis apsaugos priemonėmis. Mūsų asortimentas nuolat papildomas, mes bendradarbiaujame su daugeliu gamintojų ir tiekėjų iš Lietuvos bei užsienio valstybių. Mūsų bendrovė išsiskiria konkurencingom kainom bei kokybe ir greitu užsakymų pateikimu, todėl...
",https://rekvizitai.vz.lt/imone/uab_ar_plius/
"Dorado investicijos
","
woppsa.com
","Švitrigailos g. 11K-109, LT-03228 Vilnius.","
Veiklos sritys: apranga, drabužiai; buitinė technika; interneto parduotuvės; sporto, turizmo reikmenys.
","
Pagrindinis woppsa.com išskirtinumas – platus ir unikalus, nuolatos atnaujinamas prekių asortimentas, patrauklios kainos bei malonus aptarnavimas. Norime kad kiekvienas mūsų svetainės lankytojas ar pirkėjas jaustųsi ypatingas, todėl labai daug dėmesio skiriame Jums ir kokybiškam Jūsų aptarnavimui. Kodėl Verta...
",https://rekvizitai.vz.lt/imone/dorado_investicijos/
"Humana LT
","
HUMANA
","Kibirkšties g. 6, LT-02242 Vilnius.","
Veiklos sritys: apranga, drabužiai; didmeninė prekyba; mažmeninė prekyba.
","
UAB HUMANA LT - tai plačiai žinomas parduotuvių tinklas, kuriame siūlome nebrangiai įsigyti stilingų dėvėtų ir vintažinių drabužių. Džiaugiamės, jog per daugiau nei dvidešimt gyvavimo Lietuvoje metų mums pavyko tapti ne tik nebrangios mados lyderiais, bet ir tvaraus bei ekologiško vartojimo simboliu.
",https://rekvizitai.vz.lt/imone/humana_lt/
"Insema
","
ATLANTIC
","Želvos g. 30-2, LT-08100 Vilnius.","
Veiklos sritys: apranga, drabužiai; mažmeninė prekyba.
","
UAB “INSEMA” – viena iš prekybos apatiniu trikotažu lyderių Lietuvoje, šiuo metu valdanti 8 fizinių parduotuvių tinklą didžiausiuose Lietuvos miestuose (Vilniuje, Kaune, Šiauliuose, Panevėžyje ir Klaipėdoje) bei internetinę parduotuvę www.mylingerie.lt Įmonė įkurta 2009 metais. Joje šiuo metu dirba daugiau nei 20...
",https://rekvizitai.vz.lt/imone/uab_insema/
"Kalnų grupė
","
Parduotuvė ""Kalnų namai""
","Užupio g. 7-34, LT-01200 Vilnius.","
Veiklos sritys: apranga, drabužiai; didmeninė prekyba; kelionės; sporto, turizmo reikmenys.
","
Keliavimui ir aktyviam laisvalaikiui skirtų prekių parduotuvė, didžiausias prekinių ženklų Patagonia, Black Diamond, Fjallraven, Danner, Primus, Teva, Nordisk ir kitų prekių pasirinkimas Lietuvoje!
",https://rekvizitai.vz.lt/imone/kalnugrupe/
"Kopakopa
","
Salanida
","Minijos g. 11-108, LT-91200 Klaipėda.","
Veiklos sritys: apranga, drabužiai.
","
Kaip susikūrė SALANIDA? Nuo 2012 m. SALANIDA eina lėtu ir apgalvotu mados keliu, kuriam vadovauja Gabrielė Kerpytė. Gabrielė yra lietuvių dizainerė, baigusi „Istituto Marangoni“ Londone ir „Polimoda“ Florencijoje. SALANIDA prekės ženklo esmė yra paprastumas ir tvarumas. Rankų darbo ir minkštas liesti drabužis yra...
",https://rekvizitai.vz.lt/imone/kopakopa/
"Lidata
","
","Kalvarijų g. 168, LT-08206 Vilnius.","
Veiklos sritys: apranga, drabužiai; didmeninė prekyba; gamyba; siuvimas, medžiagos.
","
UAB Lidata – tai mokyklinių uniformų ir dalykinės aprangos modeliavimo, gamybos ir prekybos įmonė. Įmonės tikslas - sukurti uniformą, kuri būtų ne tik drabužis, bet ir Jūsų mokyklos įvaizdžio dalis. Mūsų gaminamas asortimentas:Tekstilės gaminiai : prigludusio silueto švarkai, klasikinės siauro kirpimo kelnės...
",https://rekvizitai.vz.lt/imone/lidata/
"MACANO.LT
","
","Kauno g. 1, Ramučiai, Karmėlavos sen., LT-54466 Kauno r.","
Veiklos sritys: apranga, drabužiai; avalynė, batai; interneto parduotuvės; mažmeninė prekyba.
","
MACANO.LT - Tavo stiliaus ikona! Siūlome tik 100% autentiškus ir originalius drabužius, aksesuarus bei avalynę tiesiai iš mados šalies – ITALIJOS. NUOLAIDOS KIEKVIENĄ DIENĄ NET IKI -75%* MACANO.LT prekiauja žinomiausiais pasaulyje prekių ženklais, tokiais kaip: Karl Lagerfeld, Calvin Klein, Tommy Hilfiger, Guess...
",https://rekvizitai.vz.lt/imone/macano_lt/
"Maraton Baltic
","
MaratonShop.lt
","Jurgiškių g. 35-38, LT-63154 Alytus.","
Veiklos sritys: mažmeninė prekyba; apranga, drabužiai; avalynė, batai; didmeninė prekyba.
","
Parduotuvėse Maraton, Maratonshop.lt prekiaujama visame pasaulyje žinomų prekės ženklų Maraton, Reebok, Puma, Adidas, Nike, New Balance, Converse, GymShark, Under Armour, Asics ir kitų gamintojų sporto ir laisvalaikio prekių prekyba internetu ir realiose parduotuvėse Alytuje. Galime Jums pasiūlyti tiek naujausių...
",https://rekvizitai.vz.lt/imone/maraton_baltic/
"Modis Knitting Designer
","
modis
","J. Sondeckio g. 7, LT-78214 Šiauliai.","
Veiklos sritys: apranga, drabužiai; individuali veikla; meno salonai ir galerijos, dirbiniai.
","
Modestas Navickas yra drabužių dizaineris užsiimantis MEZGIMO DIZAINU. Nuolat ieškantis novatoriškiausių sprendimų savo specifinėje kūryboje ir išlaikantis asmeninį požiūrį į drabužio architektūrą, stilių bei siluetą. Mezgimo mados namai. Jau antros kartos, mezgimo amatą valdantys namai. Sujungėme meniškumą ir...
",https://rekvizitai.vz.lt/imone/modis_fashion_house/
"Partus
","
","Draugystės g. 17, LT-51229 Kaunas.","
Veiklos sritys: spaustuvės, leidyba; apranga, drabužiai; dovanos; reklamos paslaugos.
","
Atliekame tiesioginės spaudos ir siuvinėjimo paslaugas ant tekstilės. Tiesioginė spauda ant tekstilės (DTG printing) Spauda ant Marškinėlių Spauda ant Džemperių Spauda ant Polo Marškinėlių Spauda ant Medžiaginių maišelių Spauda ant Audinių iškarpų Siuvinėjimas Siuvinėjimas ant Polo marškinėlių Siuvinėjimas ant...
",https://rekvizitai.vz.lt/imone/partus/
"RePlaza
","
","Plento g. 20A, LT-45400 Kaunas.","
Veiklos sritys: apranga, drabužiai; atliekų tvarkymas; avalynė, batai; didmeninė prekyba.
","
UAB RePlaza - dėvėtų ir naujų drabužių rūšiavimo centras. Patirtis. Didesnė nei 15 metų rūšiavimo patirtis. Platus asortimentas: Dėvėti drabužiai (rūbai) ; Nauji drabužiai (Stock return) ; Avalynė, Rankinės, Diržai ; Namų apyvoka ; Bižuterija ; ir kt. Kokybės garantas. Profesionalus drabužių kokybės ir defektų...
",https://rekvizitai.vz.lt/imone/uab_replaza/
"Rovana
","
","Sudervės g. 8J, Avižienių k., LT-14192 Vilniaus r.","
Veiklos sritys: žūklės ir medžioklės reikmenys, paslaugos; apranga, drabužiai; avalynė, batai; sporto, turizmo reikmenys.
","
PARDUOTUVĖS: Vilnius OUTLET | VILNIUS, Vytauto Pociūno g. 8, Pilaitė, +370 612 41366 PC OZAS | VILNIUS, Ozo g. 18, II aukštas, +370 612 86 515 PC BANGINIS | VILNIUS, Lukšio g. 34, +370 640 40 856 PLC MEGA | KAUNAS, Islandijos pl. 32, +370 616 79826 PC BANGINIS | KLAIPĖDA, Šilutės plentas 35, +370 612 83 344 PLC...
",https://rekvizitai.vz.lt/imone/rovana_v_karlos_imone/
"Simona Koncė
","
","Maironio g. 38-8, LT-44248 Kaunas.","
Veiklos sritys: apranga, drabužiai; vaikų prekės.
","
Insulino pompa yra vienas iš efektyviausių būdų valdyti I-ojo tipo diabetą. Vaikai,sergantys šia liga dažniausiai dėvi insulino pompas ir taip susiduria su laisvo judėjimo iššūkiais. Lietuvoje tokių vaikų nuo 2 iki 18 metų amžiaus yra apie 1000, pasaulyje apie 1.000 000 ir šie skaičiai kasmet auga. Our Pocket Hero...
",https://rekvizitai.vz.lt/imone/simona_konce/
"Sportinė apranga
","
Hustle Point
","Lakštingalos g. 7, LT-33132 Molėtai.","
Veiklos sritys: apranga, drabužiai; didmeninė prekyba; mažmeninė prekyba; siuvimas, medžiagos.
","
Hustle Point - tai tarptautinis ženklas sportinės aprangos gamyboje. Lietuvoje gaminama produkcija pasiekia klientus ne tik Lietuvoje ar kitose ES šalyse, tačiau ir JAV. Mūsų gaminama produkcija - sportinė apranga krepšinio, futbolo, ledo ritulio ir kitų sporto šakų komandoms bei atletams. Tikime, kad šiuolaikinė...
",https://rekvizitai.vz.lt/imone/sportine_apranga/
"Tūta
","
","A. Vienuolio g. 32, LT-29148 Anykščiai.","
Veiklos sritys: apranga, drabužiai; gamyba; siuvimas, medžiagos; sporto, turizmo reikmenys.
","
Įmonė „Tūta"" buvo įkurta 1991 metais ir šiandien ji – viena žinomiausių sporto aprangų kūrėjų bei gamintojų. Ilgus metus bendradarbiaudama su garsiausiu visų laikų Lietuvos krepšininku Arvydu Saboniu, 2006 metų pabaigoje „Tūta"" įgijo teisę į profesionalių krepšinio aprangų kokybės ženklą „Approved by Sabonis“. 2011...
",https://rekvizitai.vz.lt/imone/tuta/
"UAB ""Adikopas Group""
","
","Pikulo g. 55, LT-48433 Kaunas.","
Veiklos sritys: apranga, drabužiai; darbo apranga; eksportas; gamyba.
","
,,Adikopas“ yra šeimos verslas – jaunas, ambicingas ir visada įdėjęs šiek tiek daugiau širdies nei įprastas verslas. Pradėjome nuo 20 metų įkūrėjo ankstesnės tekstilės gamybos patirties ir nuo to laiko plečiame savo. Mėgstame darbus atlikti laiku ir, kad klientai būtų visiškai patenkinti kokybe. Kad ir kokios...
",https://rekvizitai.vz.lt/imone/uab_adikopas_group/
"UAB ""Baksai""
","
Baltas Stilius
","Žirmūnų 139, LT-09120 Vilnius.","
Veiklos sritys: apranga, drabužiai; avalynė, batai; medicininė įranga; odos gaminiai.
","
Štai ir atnaujinta medicininės aprangos ir avalynės internetinė parduotuvė – www.baltasstilius.lt Sukūrėme šią parduotuvę mūsų klientų patogumui. Žmonių, kurie gyvena tolimiausiuose ir ne tokiuose tolimuose Lietuvos kampeliuose. Turbūt nėra nei vieno miesto, miestelio, ar kaimelio, kur nebūtų gydytojo. O kiekvienas...
",https://rekvizitai.vz.lt/imone/uab_baksai/
"Dailidesign
","
Daili
","Parko g. 19, Didžiosios Riešės k., LT-14261 Vilniaus r.","
Veiklos sritys: apranga, drabužiai; juvelyriniai dirbiniai ir bižuterija; stiklas ir jo gaminiai.
","
UAB„Dailidesign“ įmonė įsteigta 2013m. Įmonė užsiima drabužių, aksesuarų, juvelyrikos bei stiklo gaminių sukūrimu, jų gamyba ir prekyba Lietuvoje bei užsienyje. Esame savo srities profesionalai, turime sukaupę didelę patirtį, daug metų su savo produkcija dalyvaujame prestižinėse parodose užsienyje ir Lietuvoje. Dar...
",https://rekvizitai.vz.lt/imone/dailidesign/
"DRABUŽIŲ OAZĖ
","
","Leičių g. 9-16, LT-12109 Vilnius.","
Veiklos sritys: interneto parduotuvės; apranga, drabužiai; didmeninė prekyba.
","
UAB ""Drabužių Oazė"" yra vienos įspūdingiausių internetinių parduotuvių Stilano.lt valdytoja ir savininkė, užsiimanti mažmenine ir didmenine prekyba moteriškais drabužiais ir aksesuarais. Nuo 2012 metų UAB ""Drabužių Oazė"" administruoja įspūdingą asortimentą siūlančią internetinę parduotuvę Stilano.lt, kurioje Jums...
",https://rekvizitai.vz.lt/imone/uab_drabuziu_oaze/
"Einam laukan
","
CiuCiu
","Vilniaus g. 112-38, LT-76290 Šiauliai.","
Veiklos sritys: naminiai gyvūnai, maistas, reikmenys; apranga, drabužiai; didmeninė prekyba; mažmeninė prekyba.
","
Inovatyvūs ir apsaugantys rūbai šunims: lietaus kombinezonai, šilti paltukai, liemenės, striukės, megztukai, aksesuarai. Sukurta ir pagaminta Lietuvoje. Įvairioms veislėms. Individualūs ir didmenos užsakymai. Prekyba orientuota į užsienio šalis. 8m patirtis, kuriant produktus, klientų atsiliepimai iš įvairių šalių...
",https://rekvizitai.vz.lt/imone/einam_laukan/
"Fasaja
","
Rasakila
","Partizanų g. 232-27, LT-50316 Kaunas.","
Veiklos sritys: apranga, drabužiai; higienos reikmenys; mažmeninė prekyba; žaislai.
","
Mes už kokybę iš gamtos! Esame įmonė, prekiaujanti tik laiko patikrintais, aukštos kokybės gaminiais. Dirbdami nuo 2006 metų užsitarnavome klientų pasitikėjimą. Rasakila viena iš pirmųjų pradėjusi prekybą ekologiškos, sertifikuotos tekstilės gaminiais bei įvežusi daugkartinio naudojimo sauskelnes ir pristačiusi jas...
",https://rekvizitai.vz.lt/imone/fasaja/
"GOOD BUY
","
","Raudondvario pl. 164, E209, LT-47173 Kaunas.","
Veiklos sritys: audiniai, patalynė; apranga, drabužiai; spaustuvės, leidyba.
","
Būkite kūrybingi, Būkite unikalūs! Leiskite savo kūrybinėms mintims visišką laisvę, nes AVINFI atspausdins jūsų sukurtą dizainą ant audinio be jokių apribojimų. AVINFI komanda turi sukaupusi daugiau nei 11 metų patirtį tekstilės srityje ir daugiau nei 7 metų patirtį TIESIOGINĖS SPAUDOS ANT AUDINIŲ srityje. Mes...
",https://rekvizitai.vz.lt/imone/good_buy/
"Komerta
","
","Sodų g. 23, Šaukavos k., LT-20102 Ukmergės r.","
Veiklos sritys: apranga, drabužiai; interneto parduotuvės; įrankiai; šildymas, įrenginiai.
","
UAB ""Komerta” pagrindinės veiklos kryptys: - granulių degiklių BurnPell didmeninė-mažmeninė prekyba bei eksportas. Granulių degikliai BurnPell - lengvai prižiūrima, patogi ir moderni gyvenamųjų namų, visuomeninių ir komercinių patalpų šildymo medienos granulėmis sistema. Galingumai nuo 5 iki 500 kW. Granulių...
",https://rekvizitai.vz.lt/imone/komerta/
"Linos artelė
","
","Mykolo Sleževičiaus g. 7, LT-06326 Vilnius.","
Veiklos sritys: siuvimas, medžiagos; apranga, drabužiai; audiniai, patalynė.
","
Linos artelė – drabužių taisymo ir siuvimo paslaugų profesionalai Uždaroji akcinė bendrovė Linos artelė įkurta 2003 metais. Šiandien, tai viena didžiausių įmonių, teikiančių profesionalias drabužių taisymo ir siuvimo paslaugas. Mūsų vizija: Teikti savo klientams aukščiausio lygio paslaugas. Mūsų tikslas:...
",https://rekvizitai.vz.lt/imone/linos_artele/
"Madmuazelė
","
","Trakų g. 12-20, LT-01132 Vilnius.","
Veiklos sritys: apranga, drabužiai.
","
Šiuolaikiniu vakarinių drabužių salonas. Vakarinės,kokteilinės trumpos suknelės ir jų aksesuarai - mažmeninė prekyba, nuoma. Mielos ponios ir panelės, Šiuolaikinių vakarinių drabužių salonas„Madmuazelė“ parduoda ir nuomoja ypatingai progai skirtas sukneles ir aksesuarus, teikia išskirtinio dizaino naujoviškas...
",https://rekvizitai.vz.lt/imone/madmuazele/
"Motomafija
","
","Ramybės g. 4-70, LT-02103 Vilnius.","
Veiklos sritys: apranga, drabužiai; mažmeninė prekyba.
","
Mus galite rasti: Vilniuje, Kaune ir Klaipėdoje bei apsipirkti internetinėje parduotuvėje – www.motomafia.lt MOTOMAFIA VILNIUS Ateities g. 10a, Vilnius, Lietuva (priešais Circle-k degalinę) Telefono nr. + 370 600 31606 Darbo laikas I-V: nuo 10:00 iki 19:00 val. VI: nuo 11:00 iki 16:00 val. MOTOMAFIA KAUNAS Veiverių...
",https://rekvizitai.vz.lt/imone/motomafija/
"Motus aeternus
","
","Kalvinės g. 19, Sužionys, LT-15112 Vilniaus r.","
Veiklos sritys: dviračiai, paspirtukai; apranga, drabužiai; didmeninė prekyba; fotografijos paslaugos, įranga.
","
Motus aeternus - elektrinių dviračių ir jų priedų parduotuvė. Esame oficialūs Prancūziškų - Eovolt, Austriškų - KTM ir Čekiškų - Lovelec ir Crussis, Olandiškų - Tenways, elektrinių dviračių gamintojų atstovai Lietuvoje. Elektrinių dviračių salonas Vilniuje: I-V: 10-19 val. VI: 10-16 val. Adresu: Konstitucijos pr...
",https://rekvizitai.vz.lt/imone/motus_aeternus/
